type,udc_id,gen_id,name,resource_name,bus_id
GEN,SDGE,ESCNDO_6_EB3BT3,Escondido BESS 3,BESSGEN_7_N003,99003_BESS GEN_12.0_GU3
GEN,SCE,BIGCRK_2_EXESWD,BIG CREEK HYDRO PROJECT PSP,BIGCRK_2_EXESWD-APND,N/A
GEN,SCE,BIGSKY_2_BSKSR6,Big Sky Solar 6,BIGSK230_2_N022,24386_BIGSKGN6_34.5_GUS6
GEN,SCE,BIGSKY_2_BSKSR7,Big Sky Solar 7,BIGSK230_2_N023,24387_BIGSKGN7_34.5_GUS7
GEN,SCE,BIGSKY_2_BSKSR8,Big Sky Solar 8,BIGSK230_2_N024,24388_BIGSKGN8_34.5_GUS8
GEN,SCE,BIGSKY_2_SOLAR1,Antelope Big Sky Ranch ,BIGSKGN1_7_N001,24394_BIGSKGN1_34.5_GUS1
GEN,SCE,BIGSKY_2_SOLAR2,Big Sky Solar 4,BIGSKGN2_7_N001,24396_BIGSKGN2_34.5_GUS2
GEN,SCE,BIGSKY_2_SOLAR3,Big Sky Summer ,BIGSKGN3_7_N001,24393_BIGSKGN3_34.5_GUS3
GEN,SCE,BIGSKY_2_SOLAR4,Western Antelope Blue Sky Ranch B,BIGSKGN4_7_N001,24395_BIGSKGN4_34.5_GUS4
GEN,SCE,BIGSKY_2_SOLAR5,Big Sky Solar 2,BIGSKGN5_7_N001,24389_BIGSK534_34.5_GUS5
GEN,SCE,BIGSKY_2_SOLAR6,Solverde 1,BIGSKGN6_7_N001,24390_BIGSK434_34.5_GUS6
GEN,SCE,BIGSKY_2_SOLAR7,Big Sky Solar 1,BIGSKGN7_7_N001,24389_BIGSK534_34.5_GUS7
GEN,PGAE,MENBIO_6_RENEW1,CalRENEW - 1(A),BIOMSJCT_6_GN001,34269_BIOMSJCT_70.0_GURN
GEN,PGAE,MENBIO_6_UNIT,MENDOTA BIOMASS POWER,BIOPWR_7_N001,34334_BIO PWR _13.8_GU1
GEN,PGAE,BKRFLD_2_SOLAR1,Bakersfield 111,BKR111_7_N002,30951_BKR111  _21.6_GU1
GEN,PGAE,BLCKWL_6_SOLAR1,Blackwell Solar,BLACKWLL_7_N002,34849_BLACKWLL_12.5_GU1
GEN,SCE,BLAST_1_WIND,Mountain View IV Wind,BLAST_7_N005,24840_BLAST   _34.5_GUWD
GEN,PGAE,BALCHS_7_UNIT 2,BALCH 2 PH UNIT 2,BLCH38750_7_B1,34612_BLCH 2-2_13.8_GU2
GEN,PGAE,BALCHS_7_UNIT 3,BALCH 2 PH UNIT 3,BLCH38751_7_B1,34614_BLCH 2-3_13.8_GU3
GEN,NCPA,BLCKBT_2_STONEY,BLACK BUTTE HYDRO,BLCKBUTT_7_B1,31840_BLCKBUTT_ 4.2_GU1
GEN,SCE,BLKCRK_2_SOLAR1,McCoy Station,BLKCRK_2_SOLAR1-APND,N/A
GEN,PGAE,KIRKER_1_BATTRY,Black Diamond Energy Storage,BLKDMDBT_7_N002,32952_BLKDMDBT_21.0_GU1
GEN,PGAE,BLHVN_7_MENLOP,GAS RECOVERY SYS. (MENLO PARK),BLLEHVN_6_N009,33372_BLLE HVN_60.0_GUM1
GEN,SCE,BLM_2_UNITS,BLM EAST Facility,BLM_2_UNITS-APND,N/A
GEN,PGAE,BLULKE_6_BLUELK,Blue Lake Power,BLUELAKE_7_GN001,31065_BLUELAKE_12.5_GU1
GEN,SCE,PLAINV_6_BSOLAR,Western Antelope Blue Sky Ranch A ,BLUESKY_7_N001,24996_BLUESKY _34.5_GUBS
TG,SCE,ZES1_BLYTHE161_I_VER_SG2,ZES1_BLYTHE161_I_VER_SG2,BLYTHE_1_N101,N/A
GEN,SCE,DRACKR_2_SOLAR1,Dracker Solar Unit 1,BLYTHES1_7_N001,24979_BLYTHES1_34.5_GUS1
GEN,SCE,BLYTHE_1_SOLAR1,Blythe Solar 1 Project,BLYTHESC_1_GN001,24017_BLYTHESC_161_GUS1
GEN,SCE,BLYTHE_1_CREST,SCE BLYTHE_1_CREST,BLYTHESC_1_N007,24017_BLYTHESC_161_GUC1
GEN,SCE,BLYTHE_1_SOLAR2,Blythe Green 1,BLYTHESC_1_N008,24017_BLYTHESC_161_GUS2
GEN,PGAE,BNNIEN_7_ALTAPH,ALTA POWER HOUSE,BONNIEN_7_N002,32375_BONNIE N_12.0_GUAL
GEN,PGAE,BORDEN_2_QF,SMALL QF AGGREGATION - MADERA,BORDEN_2_N008,30805_BORDEN  _230_GUM1
GEN,SDGE,BREGGO_6_SOLAR,NRG Borrego Solar One,BORREGO_6_N009,22084_BORREGO _69.0_GU1
GEN,PGAE,GEYS17_2_BOTRCK,Bottle Rock Geothermal,BOTTLERK_7_N001,31421_BOTTLERK_13.8_GUBR
GEN,PGAE,BOWMN_6_UNIT,BOWMAN,BOWMAN_7_B1,32480_BOWMAN  _ 4.0_GU1
GEN,PGAE,BOWMN_6_HYDRO,NID Hydro Bowman Powerhouse,BOWMAN_7_N002,32480_BOWMAN  _ 4.0_GUH1
GEN,PGAE,BRDGVL_7_BAKER,Baker Station Hydro,BRDGVLT_7_N002,31017_BRDGVL T_12.0_GUBK
GEN,PASA,BRDWAY_7_UNIT 3,BROADWAY UNIT 3,BRDWAYB3_7_B1,28026_BRDWAYB3_13.8_GU3
GEN,SDGE,BREGGO_6_DEGRSL,Desert Green Solar Farm,BREGGEN_7_N006,22085_BREG GEN_12.0_GUDG
GEN,PGAE,BURNYF_2_UNIT 1,Burney Forest Power,BRNYFRST_7_B1,31798_BRNYFRST_13.2_GU1
GEN,SCE,BRODIE_2_WIND,Coram Brodie Wind Project,BRODIE_2_WIND-APND,N/A
GEN,SCE,DTCHWD_2_BT4WND,Brookfield Tehachapi 4,BROOKGEN_7_N002,24466_BROOKGEN_12.5_GUB4
GEN,SCE,DTCHWD_2_BT3WND,Brookfield Tehachapi 3,BROOKGEN_7_N003,24466_BROOKGEN_12.5_GUB3
GEN,SCE,BISHOP_1_ALAMO,BISHOP CREEK PLANT 2  AND  6,BSPHYD26_7_N001,24709_BSPHYD26_55.0_GU26
GEN,SCE,BISHOP_1_UNITS,BISHOP CREEK PLANT 3  AND  4,BSPHYD34_1_N001,24710_BSPHYD34_115_GU34
GEN,SCE,BUCKBL_2_PL1X3,Blythe Energy Center,BUCKBL_2_PL1X3-APND,N/A
GEN,PGAE,BUCKCK_7_PL1X2,BUCKS CREEK AGGREGATE,BUCKCK_7_PL1X2-APND,N/A
GEN,SCE,BUCKWD_1_QF,Buckwind Re-powering project,BUCKWND_1_N001,25634_BUCKWND _115_GUQF
GEN,SCE,BUCKWD_7_WINTCV,"Wintec Energy, Ltd.",BUCKWND_1_N101,25634_BUCKWND _115_GUWT
GEN,SCE,BUCKWD_1_NPALM1,North Palm Springs 1A,BUCKWND_1_N201,25634_BUCKWND _115_GUNP
GEN,PGAE,BULLRD_7_SAGNES,SAINT AGNES MED. CTR,BULLARD_1_N009,34416_BULLARD _115_GUM1
GEN,PGAE,MTNPWR_7_BURNEY,"OGDEN POWER PACIFIC, INC. (BURNEY)",BURNEYQF_6_B2,31638_BURNEYQF_60.0_GU1
GEN,PGAE,BUTTVL_7_UNIT 1,BUTT VALLEY HYDRO,BUTTVLLY_7_B1,31780_BUTTVLLY_13.8_GU1
GEN,SDGE,OCTILO_5_WIND,Ocotillo Wind Energy Facility,C493GEN_7_N003,23312_C493 GEN_34.5_GUGN
GEN,SDGE,CPVERD_2_SOLAR,Campo Verde Solar,C590M1_7_N004,23307_IVGEN3M1_34.5_GU1
GEN,SDGE,MSOLAR_2_SOLAR1,Mesquite Solar 1,C643TM1_7_N001,23338_C643T_M1_34.5_GU1
TG,SDGE,ALHMBR_1_ALHSLR,SG Alhambra,C7-1-S1_1_N002,N/A
TG,SDGE,ARKANS_1_ARKSLR,SG Arkansas,C7-2-S1_1_N002,N/A
GEN,PGAE,CALFTN_2_SOLAR,California Flats North,C877P2C2_7_N001,34665_C877P2C2_34.5_GU1
GEN,SCE,CABZON_1_WINDA1,Cabazon Wind Project,CABAZON_7_B1,28280_CABAZON _34.5_GU1
GEN,SDGE,CBRLLO_6_PLSTP1,POINT LOMA SEWAGE TREATMENT PLANT,CABRILLO_6_N011,22092_CABRILLO_69.0_GUM1
GEN,PGAE,CHEVCD_6_UNIT,CHEVRON USA (TAFT/CADET),CADET_6_N002,34916_CADET   _70.0_GU1
GEN,SCE,CALGEN_1_UNITS,Coso Navy 1,CALGEN_1_UNITS-APND,N/A
TG,SDGE,CALPSS_6_SOLAR1,Calipatria Solar Farm,CALIPSF_7_N001,N/A
GEN,PGAE,CSTOGA_6_LNDFIL,Clover Flat Land Fill Gas,CALISTGA_6_N004,32652_CALISTGA_60.0_GUM1
GEN,PGAE,CAMCHE_1_PL1X3,"CAMANCHE UNITS  1, 2 &  3 AGGREGATE",CAMCHE_1_PL1X3-APND,N/A
GEN,PGAE,CANTUA_1_SOLAR,Cantua Solar Station,CANTGEN_7_N002,34352_CANTUA  _115_GU1
GEN,ANHM,ANAHM_2_CANYN1,CANYON POWER PLANT UNIT 1,CANYONP1_7_GN001,25207_CANYONP1_13.8_GUG1
GEN,ANHM,ANAHM_2_CANYN2,CANYON POWER PLANT UNIT 2,CANYONP2_7_GN001,25208_CANYONP2_13.8_GUG2
GEN,ANHM,ANAHM_2_CANYN3,CANYON POWER PLANT UNIT 3,CANYONP3_7_GN001,25209_CANYONP3_13.8_GUG3
GEN,ANHM,ANAHM_2_CANYN4,CANYON POWER PLANT UNIT 4,CANYONP4_7_GN001,25210_CANYONP4_13.8_GUG4
GEN,SDGE,CPSTNO_7_PRMADS,PRIMA DESCHECHA (CAPISTRANO),CAPSTRNO_1_N016,22112_CAPSTRNO_138_GUM1
TG,PGAE,TIDS_WESTLYQNTO_I_AS_CERT01,TIDS_WESTLYQNTO_I_AS_CERT01,CAPTJACK_5_N003,N/A
TG,PGAE,PORT_TRCYCOTP_I_AS_CERT01,PORT_TRCYCOTP_I_AS_CERT01,CAPTJACK_5_N015,N/A
TG,PGAE,PWRX_TRCYCOTP_I_AS_CERT01,PWRX_TRCYCOTP_I_AS_CERT01,CAPTJACK_5_N015,N/A
TG,PGAE,WSNR_TRCYCOTP_I_AS_CERT01,WSNR_TRCYCOTP_I_AS_CERT01,CAPTJACK_5_N015,N/A
TG,PGAE,TIDS_WESTLYTSLA_I_AS_CERT01,TIDS_WESTLYTSLA_I_AS_CERT01,CAPTJACK_5_N504,N/A
TG,PGAE,SMUD_TRCYPGAE_I_AS_CERT01,SMUD_TRCYPGAE_I_AS_CERT01,CAPTJACK_5_N505,N/A
TG,PGAE,TIDS_TRCYPGAE_I_AS_CERT01,TIDS_TRCYPGAE_I_AS_CERT01,CAPTJACK_5_N505,N/A
TG,PGAE,WPAC_TRCYPGAE_I_AS_TRASSP,WPAC_TRCYPGAE_I_AS_TRASSP,CAPTJACK_5_N505,N/A
TG,PGAE,WSNR_TRCYPGAE_I_AS_CERT01,WSNR_TRCYPGAE_I_AS_CERT01,CAPTJACK_5_N505,N/A
TG,PGAE,WPAC_TESLA230_I_AS_TRASSP,WPAC_TESLA230_I_AS_TRASSP,CAPTJACK_5_N506,N/A
TG,PGAE,WSNR_TESLA230_I_AS_CERT01,WSNR_TESLA230_I_AS_CERT01,CAPTJACK_5_N506,N/A
TG,PGAE,WSNR_CTW230_I_AS_CERT01,WSNR_CTW230_I_AS_CERT01,CAPTJACK_5_N510,N/A
GEN,SCE,CAPWD_1_QF,Edom Hills Wind Farm,CAPWIND_1_B1,25633_CAPWIND _115_GUQF
GEN,PGAE,CARBOU_7_UNIT 1,CARIBOU PH 1 UNIT 1,CARABOU_7_B12,31808_CARABOU _11.5_GU1
GEN,SCE,HINSON_6_CARBGN,BP WILMINGTON CALCINER,CARBOGEN_7_B1,24020_CARBOGEN_13.8_GU1
GEN,PGAE,CARBOU_7_PL2X3,CARIBOU PH 1 UNIT 2 & 3 AGGREGATE,CARBOU_7_PL2X3-APND,N/A
GEN,PGAE,CARBOU_7_PL4X5,CARIBOU PH 2 UNIT 4 & 5 AGGREGATE,CARBOU_7_PL4X5-APND,N/A
GEN,SDGE,CHILLS_1_SYCENG,Sycamore Energy 1,CARLTNHS_1_GN001,22120_CARLTNHS_138_GUM3
GEN,SDGE,CHILLS_7_UNITA1,Sycamore Energy 2,CARLTNHS_1_N011,22120_CARLTNHS_138_GUM2
GEN,SDGE,CHILLS_1_SYCLFL,SYCAMORE LANDFILL,CARLTNHS_1_N012,22120_CARLTNHS_138_GUM1
GEN,SCE,CARODN_2_CREST,CARODN_2_CREST,CARODEAN_1_N010,24824_CARODEAN_115_GUC1
GEN,PGAE,CASTVL_2_FCELL,PGE CSUEB Hayward Fuel Cell,CASTROVL_2_N009,30554_CASTROVL_230_GUFC
GEN,SCE,CATLNA_2_SOLAR,Catalina Solar - Phases 1 and 2,CATALGEN_7_N001,28238_CATALGEN_34.5_GU1
GEN,SCE,CATLNA_2_SOLAR2,Catalina Solar 2,CATALNA2_7_N001,28237_CATALNA2_34.5_GU1
GEN,PGAE,MARKHM_1_CATLST,SAN JOSE COGEN,CATALYST_7_N002,35863_CATALYST_12.0_GU1
GEN,PGAE,CAVLSR_2_RSOLAR,California Valley Solar Ranch-Phase A,CAVLSRGN_7_B1,36425_T0239   _34.5_GU1
GEN,PGAE,CAYTNO_2_VASCO,Vasco Road,CAYETNO_2_N002,99305_CAYTNOGN_21.0_GU1
GEN,PGAE,CAYTNO_2_LVCSR1,Livermore Community Solar Farm,CAYETNO_2_N003,99305_CAYTNOGN_21.0_GULC
GEN,PGAE,COCOPP_7_UNIT 6,CONTRA COSTA UNIT 6,CCOS6_7_B1,33116_C.COS 6 _18.0_GU6
GEN,PGAE,COCOPP_7_UNIT 7,CONTRA COSTA UNIT 7,CCOS7_7_B1,33117_C.COS 7 _18.0_GU7
GEN,PGAE,COCOSB_6_SOLAR,Oakley Solar Project,CCSUB_6_N024,33050_CC SUB  _60.0_GU1
GEN,CWRP,CDWR07_2_GEN,CDWR07_2_GEN,CDWR07_2_GEN-APND,N/A
GEN,PGAE,CEDRCK_6_UNIT,Water Wheel Ranch,CEDRCRK_6_N001,31590_CEDR CRK_60.0_GUM1
GEN,SCE,PLAINV_6_SOLARC,Central Antelope Dry Ranch C,CENTANTE_7_N001,24994_CENTANTE_34.5_GUCS
GEN,SCE,CENTER_2_TECNG1,Technicast,CENTERS_2_N036,24021_CENTER S_230_GUM1
GEN,SCE,CENTER_2_QF,CENTER QFS,CENTERS_6_N004,24203_CENTER S_66.0_GUQF
GEN,SCE,CENTER_2_RHONDO,MWD Rio Hondo Hydroelectric Recovery Pla,CENTERS_6_N008,24203_CENTER S_66.0_GURH
GEN,SCE,CENTER_2_PPCCOG,PPC COGEN POWER EXPORT,CENTERS_6_N009,24203_CENTER S_66.0_GUPC
GEN,SCE,CENTER_2_SOLAR1,Pico Rivera,CENTERS_6_N010,24203_CENTER S_66.0_GUPR
GEN,SCE,CENTRY_6_PL1X4,CENTURY GENERATING PLANT (AGGREGATE),CENTRY_6_PL1X4-APND,N/A
GEN,PGAE,CHALK_1_UNIT,CHALK CLIFF LIMITED,CHALKCLF_7_N001,35038_CHALKCLF_13.8_GU1
GEN,SDGE,CCRITA_7_RPPCHF,Rancho Penasquitos Hydro Facility,CHCARITA_1_N012,22124_CHCARITA_138_GUM1
GEN,SCE,CHEVMN_2_UNITS,CHEVRON U.S.A. UNITS 1 & 2 AGGREGATE,CHEVMAIN_6_N004,24199_CHEVMAIN_66.0_GU1
GEN,SCE,CHINO_2_SOLAR,Chino RT Solar 1,CHINO_6_GN001,24024_CHINO   _66.0_GUS1
GEN,SCE,CHINO_2_QF,CHINO QFS,CHINO_6_N003,24024_CHINO   _66.0_GUQF
GEN,SCE,CHINO_7_MILIKN,MN Milliken Genco LLC,CHINO_6_N009,24024_CHINO   _66.0_GUM1
GEN,SCE,CHINO_2_SASOLR,SS San Antonio West LLC,CHINO_6_N019,24024_CHINO   _66.0_GUSA
GEN,SCE,CHINO_2_JURUPA,Jurupa,CHINO_6_N020,24024_CHINO   _66.0_GUJS
GEN,SCE,CHINO_2_SOLAR2,Kona Solar - Terra Francesca,CHINO_6_N033,24024_CHINO   _66.0_GUS2
GEN,SCE,CHINO_2_LNDFIL,Spadra Gas-to-Energy Facility,CHINO_6_N108,24024_CHINO   _66.0_GULF
GEN,PGAE,CHICPK_7_UNIT 1,Chicago Park Powerhouse,CHIPARK_7_B1,32462_CHI.PARK_11.5_GU1
GEN,PGAE,CHWCHL_1_UNIT,CHOW 2 PEAKER PLANT,CHOWCOGN_7_N001,34301_CHOWCOGN_13.8_GU1
GEN,PGAE,ULTPCH_1_UNIT 1,Pacific Ultrapower Chinese Station,CHSTN_7_B1,34050_CH.STN. _13.8_GU1
GEN,PGAE,CHWCHL_1_BIOMAS,Chow II Biomass to Energy,CHWCHLA2_7_N001,34305_CHWCHLA2_13.8_GUBM
GEN,PGAE,WATSON_1_CICCOG,CALPINE MONTEREY COGEN INC.,CICCOGN_7_N002,36205_CIC COGN_12.5_GU1
GEN,SCE,CHINO_6_CIMGEN,O.L.S. ENERGY COMPANY -- CHINO,CIMGEN_7_B1,24026_CIMGEN  _13.8_GU1
