,BALCHS_7_UNIT 1,GEN,BALCH 1 PH UNIT 1,33,HYDRO,WATER,NP15,CISO,PGAE
,BALCHS_7_UNIT 2,GEN,BALCH 2 PH UNIT 2,52.5,HYDRO,WATER,NP15,CISO,PGAE
,BALCHS_7_UNIT 3,GEN,BALCH 2 PH UNIT 3,54.6,HYDRO,WATER,NP15,CISO,PGAE
,BANGOR_6_HYDRO,GEN,Virginia Ranch Dam Powerplant,1,HYDRO,WATER,NP15,CISO,PGAE
,BANKPP_2_NSPIN,GEN,BANKPP_2_NSPIN,270,PUMP,WATER,NP15,CISO,CWRP
,BARRE_2_QF,GEN,BARRE QFS,0.2,OTHER,OTHER,SP15,CISO,SCE
,BARRE_6_PEAKER,GEN,Barre Peaker,47,COMBUSTION TURBINE,NATURAL GAS,SP15,CISO,SCE
,BASICE_2_UNITS,GEN,CALPINE  AMERICAN  I COGEN.,120,COMBUSTION TURBINE,NATURAL GAS,NP15,CISO,PGAE
,BCTSYS_5_PWXDYN,TG,BCTSYS_5_PWXDYN,428,,WATER,NP15,BPAT,PGAE
,BDGRCK_1_UNITS,GEN,BADGER CREEK LIMITED,48.08,COMBUSTION TURBINE,NATURAL GAS,ZP26,CISO,PGAE
,BEARDS_7_UNIT 1,GEN,Beardsley Hydro,11.5,HYDRO,WATER,NP15,CISO,NCPA
,BEARMT_1_UNIT,GEN,Bear Mountain Limited,49.21,COMBUSTION TURBINE,NATURAL GAS,ZP26,CISO,PGAE
,BEJNLS_5_BV2SCEDYN,TG,Broadview 2,167,WIND,WIND,SP15,SRP,SCE
,BEKWJS_5_BV1SCEDYN,TG,Broadview 1,130,WIND,WIND,SP15,SRP,SCE
,BELDEN_7_UNIT 1,GEN,BELDEN HYDRO,119,HYDRO,WATER,NP15,CISO,PGAE
BIGCRK_2_EXESWD,BGCRK1_7_PORTAL,GEN,PORTAL HYDRO,10.8,HYDRO,WATER,SP15,CISO,
BIGCRK_2_EXESWD,BGCRK1_7_UNIT 1,GEN,BIG CREEK PH 1 UNIT 1,19.8,HYDRO,WATER,SP15,CISO,
BIGCRK_2_EXESWD,BGCRK1_7_UNIT 2,GEN,BIG CREEK PH 1 UNIT 2,15.8,HYDRO,WATER,SP15,CISO,
BIGCRK_2_EXESWD,BGCRK1_7_UNIT 3,GEN,BIG CREEK PH 1 UNIT 3,21.6,HYDRO,WATER,SP15,CISO,
BIGCRK_2_EXESWD,BGCRK1_7_UNIT 4,GEN,BIG CREEK PH 1 UNIT 4,31.2,HYDRO,WATER,SP15,CISO,
BIGCRK_2_EXESWD,BGCRK2_7_UNIT 1,GEN,BIG CREEK PH 2 UNIT 1,55,HYDRO,WATER,SP15,CISO,
BIGCRK_2_EXESWD,BGCRK2_7_UNIT 2,GEN,BIG CREEK PH 2 UNIT 2,55,HYDRO,WATER,SP15,CISO,
BIGCRK_2_EXESWD,BGCRK2_7_UNIT 3,GEN,BIG CREEK PH 2 UNIT 3,15.8,HYDRO,WATER,SP15,CISO,
BIGCRK_2_EXESWD,BGCRK2_7_UNIT 4,GEN,BIG CREEK PH 2 UNIT 4,15.8,HYDRO,WATER,SP15,CISO,
BIGCRK_2_EXESWD,BGCRK2_7_UNIT 5,GEN,BIG CREEK PH 2 UNIT 5,17.5,HYDRO,WATER,SP15,CISO,
BIGCRK_2_EXESWD,BGCRK2_7_UNIT 6,GEN,BIG CREEK PH 2 UNIT 6,17.5,HYDRO,WATER,SP15,CISO,
BIGCRK_2_EXESWD,BGCRK3_7_UNIT 1,GEN,BIG CREEK PH 3 UNIT 1,34,HYDRO,WATER,SP15,CISO,
BIGCRK_2_EXESWD,BGCRK3_7_UNIT 2,GEN,BIG CREEK PH 3 UNIT 2,34,HYDRO,WATER,SP15,CISO,
BIGCRK_2_EXESWD,BGCRK3_7_UNIT 3,GEN,BIG CREEK PH 3 UNIT 3,34,HYDRO,WATER,SP15,CISO,
BIGCRK_2_EXESWD,BGCRK3_7_UNIT 4,GEN,BIG CREEK PH 3 UNIT 4,36,HYDRO,WATER,SP15,CISO,
BIGCRK_2_EXESWD,BGCRK3_7_UNIT 5,GEN,BIG CREEK PH 3 UNIT 5,36.5,HYDRO,WATER,SP15,CISO,
BIGCRK_2_EXESWD,BGCRK4_7_UNIT 1,GEN,BIG CREEK PH 4 UNIT 1,50,HYDRO,WATER,SP15,CISO,
BIGCRK_2_EXESWD,BGCRK4_7_UNIT 2,GEN,BIG CREEK PH 4 UNIT 2,50,HYDRO,WATER,SP15,CISO,
BIGCRK_2_EXESWD,BGCRK8_7_UNIT 1,GEN,BIG CREEK PH 8 UNIT 1,30,HYDRO,WATER,SP15,CISO,
BIGCRK_2_EXESWD,BGCRK8_7_UNIT 2,GEN,BIG CREEK PH 8 UNIT 2,45,HYDRO,WATER,SP15,CISO,
BIGCRK_2_EXESWD,BIGCRK_2_EXESWD,GEN,BIG CREEK HYDRO PROJECT PSP,820,HYDRO,WATER,SP15,CISO,SCE
,BIGCRK_7_DAM7,GEN,DAM 7 AT BIG CREEK (FISHWATER GEN),0.3,HYDRO,WATER,SP15,CISO,SCE
,BIGCRK_7_MAMRES,GEN,MAMMOTH POOL RESERVOIR (FISHWATER,1.25,HYDRO,WATER,SP15,CISO,SCE
,BIGSKY_2_BSKSR6,GEN,Big Sky Solar 6,20,PHOTO VOLTAIC,SUN,SP15,CISO,SCE
,BIGSKY_2_BSKSR7,GEN,Big Sky Solar 7,20,PHOTO VOLTAIC,SUN,SP15,CISO,SCE
,BIGSKY_2_BSKSR8,GEN,Big Sky Solar 8,20,PHOTO VOLTAIC,SUN,SP15,CISO,SCE
,BIGSKY_2_SOLAR1,GEN,Antelope Big Sky Ranch ,20,PHOTO VOLTAIC,SUN,SP15,CISO,SCE
,BIGSKY_2_SOLAR2,GEN,Big Sky Solar 4,40,PHOTO VOLTAIC,SUN,SP15,CISO,SCE
,BIGSKY_2_SOLAR3,GEN,Big Sky Summer ,20,PHOTO VOLTAIC,SUN,SP15,CISO,SCE
,BIGSKY_2_SOLAR4,GEN,Western Antelope Blue Sky Ranch B,20,PHOTO VOLTAIC,SUN,SP15,CISO,SCE
,BIGSKY_2_SOLAR5,GEN,Big Sky Solar 2,5,PHOTO VOLTAIC,SUN,SP15,CISO,SCE
,BIGSKY_2_SOLAR6,GEN,Solverde 1,85,PHOTO VOLTAIC,SUN,SP15,CISO,SCE
,BIGSKY_2_SOLAR7,GEN,Big Sky Solar 1,50,PHOTO VOLTAIC,SUN,SP15,CISO,SCE
,BIOMAS_1_UNIT 1,GEN,WOODLAND BIOMASS,28.8,STEAM,BIOMASS,NP15,CISO,PGAE
,BISHOP_1_ALAMO,GEN,BISHOP CREEK PLANT 2  AND  6,13.4,HYDRO,WATER,SP15,CISO,SCE
,BISHOP_1_UNITS,GEN,BISHOP CREEK PLANT 3  AND  4,15.8,HYDRO,WATER,SP15,CISO,SCE
,BKRFLD_2_SOLAR1,GEN,Bakersfield 111,1.38,PHOTO VOLTAIC,SUN,ZP26,CISO,PGAE
,BLACK_7_UNIT 1,GEN,JAMES B. BLACK 1,85,HYDRO,WATER,NP15,CISO,PGAE
,BLACK_7_UNIT 2,GEN,JAMES B. BLACK 2,84.1,HYDRO,WATER,NP15,CISO,PGAE
,BLAST_1_WIND,GEN,Mountain View IV Wind,49,WIND,WIND,SP15,CISO,SCE
,BLCKBT_2_STONEY,GEN,BLACK BUTTE HYDRO,6.2,HYDRO,WATER,NP15,CISO,NCPA
,BLCKWL_6_SOLAR1,GEN,Blackwell Solar,12,PHOTO VOLTAIC,SUN,ZP26,CISO,PGAE
BLKCRK_2_SOLAR1,BLKCRK_2_SOLAR1,GEN,McCoy Station,250,PHOTO VOLTAIC,SUN,SP15,CISO,SCE
BLKCRK_2_SOLAR1,BLKCRK_2_SOLR1A,GEN,BLKCRK_2_SOLR1A,125,PHOTO VOLTAIC,SUN,SP15,CISO,
BLKCRK_2_SOLAR1,BLKCRK_2_SOLR1B,GEN,BLKCRK_2_SOLR1B,125,PHOTO VOLTAIC,SUN,SP15,CISO,
BLM_2_UNITS,BLM E_2_UNIT 7,GEN,COSO ENERGY DEVELOPERS - BLM EAST UNIT 7,24,,,SP15,CISO,
BLM_2_UNITS,BLM E_2_UNIT 8,GEN,COSO ENERGY DEVELOPERS - BLM EAST UNIT 8,24,,,SP15,CISO,
BLM_2_UNITS,BLM W_2_UNIT 9,GEN,COSO ENERGY DEVELOPERS - BLM WEST UNIT 9,24,,,SP15,CISO,
