resource_name,lat,long,stress
BARRE_6_N003,33.8091830167094,-117.983546337064,1069.24495852
BATIQTOS_1_N001,33.1011730128909,-117.250398800554,2030.86772996
BATIQTOS_1_N008,33.1010924249623,-117.250343259198,1781.89261875
BATIQTOS_1_N015,33.1010924249623,-117.25045434191,1924.80618634
BDLRKSP1_7_B1,32.5675387999889,-116.942388093522,1088.92261157
BDLRKSP2_7_B1,32.5675387999889,-116.942494506478,1078.58120026
BERNARDO_6_N001,33.0215745098194,-117.096227724886,3147.35852658
BERNARDO_6_N002,33.0215745097739,-117.096120944771,2388.68829776
BERNARDO_6_N009,33.0214849783846,-117.096227724886,2287.99477129
BERNARDO_6_N013,33.0215745097739,-117.096334505001,2210.50463635
BERNARDO_6_N014,33.0216640412542,-117.096227724886,2434.22843448
BLAST_7_N005,33.8876684583333,-116.573690813889,78.2211527776
BORDER_6_N001,32.5663344183517,-116.944388645212,1935.56465361
BORDER_6_N008,32.5662537052904,-116.944333351687,2018.21213889
BORREGO_6_N009,33.28726,-116.348867,53.9260565779
BRDWAYB3_7_B1,34.1252267,-118.1522098,2979.72822804
BUCKWND_1_N001,33.91,-116.57,101.362829497
BUCKWND_1_N101,33.91417,-116.577685,95.3590040192
BUCKWND_1_N201,33.9247052,-116.5971888,93.7646733783
B_6_N001,32.7143774758128,-117.169442347505,1295.04167741
B_6_N003,32.7141982840622,-117.169442347719,1359.66932933
B_6_N005,32.7141982840622,-117.169655322135,1476.72064454
B_6_N007,32.7143774758128,-117.169655322349,1312.19827475
CABAZON_7_B1,33.9290099,-116.7197259,62.9732922112
CABRILLO_1_N001,32.7075172201201,-117.24492616215,1408.59403429
CABRILLO_6_N001,32.7073380218586,-117.244926162364,1488.91820314
CABRILLO_6_N004,32.7073380218586,-117.245139128142,1298.28243288
CABRILLO_6_N011,32.7075172201201,-117.245139128356,1275.11705567
CALCMENT_6_N101,34.7699999999876,-118.209944977296,725.65347853
CALCMENT_6_N151,34.7699999999876,-118.210055022704,723.526433563
CAMERON_6_N001,32.6532463947254,-116.488126195113,57.5966709639
CAPSTRNO_1_N001,33.5129476186047,-117.665544769297,1800.67827354
CAPSTRNO_1_N006,33.5128668357384,-117.665488830059,1594.85856001
CAPSTRNO_1_N016,33.5128668357384,-117.665600708535,1742.0894382
CAPWIND_1_B1,33.88,-116.46,61.4448291749
CARBOGEN_7_B1,33.81886,-118.222474,2907.49516435
CARLTNHS_1_N001,32.8550377708171,-117.011851247678,1260.37844758
CARLTNHS_1_N004,32.8548586788927,-117.011851247893,1521.60556834
CARLTNHS_1_N011,32.8548586788927,-117.012064440497,1297.73072148
CARLTNHS_1_N012,32.8550377708171,-117.012064440712,1218.14565168
CATALGEN_7_N001,34.94,-118.35,36.4882252741
CENTERS_6_N001,33.9288840738378,-118.105463,1471.47428036
CENTERS_6_N004,33.9288029630683,-118.105406560899,1611.08917783
CENTERS_6_N200,33.9288029630683,-118.105519439101,1675.40498283
CHCARITA_1_N001,32.9600895309367,-117.089893294786,1077.52800592
CHCARITA_1_N004,32.9599104689726,-117.089893295003,1280.65805348
CHCARITA_1_N008,32.9599104689726,-117.090106704997,1352.95808598
CHCARITA_1_N012,32.9600895309367,-117.090106705214,1092.53065746
CHEVMAIN_6_N004,33.903611,-118.414167,78.9282098926
CHINO_6_N003,33.9984700995011,-117.678923611678,2667.92699574
CHINO_6_N007,33.9983919999521,-117.678869223455,2555.02843095
CHINO_6_N008,33.9983139004749,-117.678923611778,2733.18271488
CHINO_6_N009,33.9983139004749,-117.679032388222,2793.61199689
CHINO_6_N020,34.050999999988,-117.589945552805,557.678903905
CHOLLAS_6_N001,32.7440582658015,-117.046316309044,1913.49474309
CHOLLAS_6_N008,32.7439776414283,-117.046260966368,1992.84311119
CHOLLAS_6_N009,32.7439776414283,-117.04637165172,1761.08794291
CIMGEN_7_B1,33.9983919999521,-117.679086776545,2827.25430409
CLAIRMNT_6_N001,32.8260323364409,-117.18398899344,1374.86452315
CLAIRMNT_6_N008,32.8258532293749,-117.183988993655,1400.38228256
CLARMNT_1_N001,32.8258532293749,-117.184202134627,1473.49377129
CLARMNT_1_N028,32.8260323364409,-117.184202134842,1333.09678804
CLEARGEN_6_N004,33.889805,-117.58836,64.6503638677
COLWATER_1_N001,34.8601248930956,-116.853129781646,1479.13428105
COLWATER_1_N002,34.8601248930956,-116.853244218354,1553.43171814
CONCHO_1_N002,33.785845,-116.342689,51.5343892421
CORONADO_6_N001,32.6988232799581,-117.173248723742,2136.49184189
CORONADO_6_N002,32.6987426369374,-117.173193396339,2149.37804538
CORONA_1_N001,32.6987426369374,-117.173304051145,2102.32964875
COTWDPGE_1_N001,34.3804039999878,-116.876750227169,775.647199251
COTWDPGE_1_N024,34.3804039999878,-116.876859772831,776.060067404
CPBORDER_7_B1,32.5662537052904,-116.944443938737,1794.85552733
CPELCAJN_7_B1,32.7954623384819,-116.97228727704,1364.91949649
CPESCNDO_7_A1,33.1255245652031,-117.116856611111,3081.29075363
CPESCNDO_7_B1,33.1255245651575,-117.116749685382,2172.66640141
CREELMAN_6_N001,33.0181584006545,-116.853026374586,1821.10401375
